,graph_i,mec_size,n_nodes,n_types,prob_inter,prob_intra,runtime,tmec_size,unoriented_tedges
0,0,12,10,10,0.2,0.3,0.0329289436340332,12,4
1,0,72,20,10,0.2,0.3,0.31641507148742676,36,4
2,0,35,30,10,0.2,0.3,0.11386704444885254,4,2
3,0,32,40,10,0.2,0.3,0.27563953399658203,4,1
4,0,64,50,10,0.2,0.3,0.55802321434021,3,0
5,0,32,60,10,0.2,0.3,1.1103770732879639,6,0
6,0,6,70,10,0.2,0.3,0.4804961681365967,1,0
7,0,192,80,10,0.2,0.3,1.8341906070709229,4,0
8,0,10,90,10,0.2,0.3,1.5804624557495117,2,0
9,0,288,100,10,0.2,0.3,5.1725873947143555,6,0
10,1,8,10,10,0.2,0.3,0.011138439178466797,8,3
11,1,18,20,10,0.2,0.3,0.0954430103302002,12,3
12,1,30,30,10,0.2,0.3,0.13023924827575684,4,2
13,1,28,40,10,0.2,0.3,0.10212588310241699,1,0
14,1,60,50,10,0.2,0.3,0.5598447322845459,4,0
15,1,8,60,10,0.2,0.3,0.5067331790924072,2,0
16,1,168,70,10,0.2,0.3,1.8518540859222412,6,0
17,1,18,80,10,0.2,0.3,1.1754088401794434,2,0
18,1,8,90,10,0.2,0.3,2.7292003631591797,4,0
19,1,36,100,10,0.2,0.3,3.6540119647979736,4,0
20,2,8,10,10,0.2,0.3,0.012211322784423828,8,3
21,2,54,20,10,0.2,0.3,0.4477505683898926,54,6
22,2,384,30,10,0.2,0.3,0.9314937591552734,36,4
23,2,32,40,10,0.2,0.3,0.1609947681427002,2,1
24,2,40,50,10,0.2,0.3,1.3117151260375977,12,2
25,2,96,60,10,0.2,0.3,0.5833988189697266,2,0
26,2,36,70,10,0.2,0.3,1.1061532497406006,3,1
27,2,72,80,10,0.2,0.3,1.1945068836212158,2,0
28,2,144,90,10,0.2,0.3,1.793416976928711,2,0
29,2,72,100,10,0.2,0.3,2.319951295852661,2,0
30,3,2,10,10,0.2,0.3,0.003818035125732422,2,1
31,3,48,20,10,0.2,0.3,0.12918949127197266,16,4
32,3,6,30,10,0.2,0.3,0.07345032691955566,2,1
33,3,48,40,10,0.2,0.3,1.4743375778198242,24,3
34,3,216,50,10,0.2,0.3,1.0467438697814941,8,0
35,3,4,60,10,0.2,0.3,0.47812652587890625,1,0
36,3,128,70,10,0.2,0.3,2.8083386421203613,8,0
37,3,32,80,10,0.2,0.3,1.8925635814666748,3,0
38,3,32,90,10,0.2,0.3,3.0316989421844482,4,0
39,3,20,100,10,0.2,0.3,3.9451584815979004,4,0
40,4,2,10,10,0.2,0.3,0.0037627220153808594,2,1
41,4,6,20,10,0.2,0.3,0.05199933052062988,6,2
42,4,64,30,10,0.2,0.3,0.22085213661193848,8,2
43,4,40,40,10,0.2,0.3,0.33483338356018066,4,2
44,4,6,50,10,0.2,0.3,0.3276503086090088,2,0
45,4,72,60,10,0.2,0.3,2.4107325077056885,12,0
46,4,15,70,10,0.2,0.3,1.5454461574554443,4,0
47,4,72,80,10,0.2,0.3,1.6779634952545166,3,0
48,4,128,90,10,0.2,0.3,3.0234763622283936,4,0
49,4,256,100,10,0.2,0.3,2.4231626987457275,2,0
50,5,6,10,10,0.2,0.3,0.011728048324584961,6,3
51,5,18,20,10,0.2,0.3,0.03863954544067383,4,1
52,5,24,30,10,0.2,0.3,0.17864513397216797,4,3
53,5,624,40,10,0.2,0.3,2.7779791355133057,40,3
54,5,30,50,10,0.2,0.3,0.5561070442199707,4,0
55,5,144,60,10,0.2,0.3,0.5737683773040771,2,0
56,5,12,70,10,0.2,0.3,2.0195908546447754,6,2
57,5,60,80,10,0.2,0.3,0.832930326461792,1,0
58,5,50,90,10,0.2,0.3,1.1580300331115723,1,0
59,5,336,100,10,0.2,0.3,19.40169382095337,24,0
60,6,4,10,10,0.2,0.3,0.006851911544799805,4,2
61,6,14,20,10,0.2,0.3,0.0719141960144043,6,3
62,6,160,30,10,0.2,0.3,0.408174991607666,16,4
63,6,30,40,10,0.2,0.3,0.22972750663757324,3,1
64,6,90,50,10,0.2,0.3,0.5611293315887451,4,1
65,6,84,60,10,0.2,0.3,0.6588659286499023,2,0
66,6,144,70,10,0.2,0.3,2.5171616077423096,8,0
67,6,16,80,10,0.2,0.3,1.2457199096679688,2,0
68,6,420,90,10,0.2,0.3,24.287595510482788,40,0
69,6,18,100,10,0.2,0.3,2.5013678073883057,2,0
70,7,3,10,10,0.2,0.3,0.006115913391113281,3,2
71,7,24,20,10,0.2,0.3,0.19125771522521973,24,3
72,7,384,30,10,0.2,0.3,0.64798903465271,24,2
73,7,15,40,10,0.2,0.3,0.11125373840332031,1,0
74,7,60,50,10,0.2,0.3,0.6298036575317383,4,1
75,7,12,60,10,0.2,0.3,0.568016529083252,2,0
76,7,12,70,10,0.2,0.3,1.441519021987915,4,1
77,7,48,80,10,0.2,0.3,1.260160207748413,2,0
78,7,18,90,10,0.2,0.3,1.1666326522827148,1,0
79,7,24,100,10,0.2,0.3,1.5488777160644531,1,0
80,8,6,10,10,0.2,0.3,0.01084136962890625,6,3
81,8,9,20,10,0.2,0.3,0.06307291984558105,6,3
82,8,16,30,10,0.2,0.3,0.20066022872924805,8,1
83,8,8,40,10,0.2,0.3,0.2980191707611084,4,2
84,8,16,50,10,0.2,0.3,0.467301607131958,3,1
85,8,12,60,10,0.2,0.3,0.45863914489746094,1,0
86,8,12,70,10,0.2,0.3,2.0073423385620117,6,1
87,8,72,80,10,0.2,0.3,10.390084743499756,24,0
88,8,216,90,10,0.2,0.3,5.415985107421875,8,0
89,8,144,100,10,0.2,0.3,10.265238046646118,12,0
90,9,4,10,10,0.2,0.3,0.0071315765380859375,4,2
91,9,72,20,10,0.2,0.3,0.825678825378418,72,5
92,9,24,30,10,0.2,0.3,0.07403254508972168,2,0
93,9,8,40,10,0.2,0.3,0.236130952835083,3,1
94,9,60,50,10,0.2,0.3,0.9869437217712402,8,1
95,9,80,60,10,0.2,0.3,0.77093505859375,3,1
96,9,96,70,10,0.2,0.3,1.4727327823638916,4,1
97,9,8,80,10,0.2,0.3,1.6512274742126465,3,0
98,9,360,90,10,0.2,0.3,1.9944746494293213,2,0
99,9,32,100,10,0.2,0.3,5.446150064468384,6,0
100,10,8,10,10,0.2,0.3,0.013264656066894531,8,3
101,10,6,20,10,0.2,0.3,0.04979753494262695,6,1
102,10,288,30,10,0.2,0.3,0.34644389152526855,12,2
103,10,128,40,10,0.2,0.3,0.764434814453125,12,1
104,10,12,50,10,0.2,0.3,0.5582695007324219,4,0
105,10,32,60,10,0.2,0.3,0.966890811920166,4,1
106,10,144,70,10,0.2,0.3,4.989344358444214,16,0
107,10,42,80,10,0.2,0.3,2.8764090538024902,6,0
108,10,96,90,10,0.2,0.3,1.2035019397735596,1,0
109,10,120,100,10,0.2,0.3,4.012092590332031,4,0
110,11,2,10,10,0.2,0.3,0.0040667057037353516,2,1
111,11,8,20,10,0.2,0.3,0.04023933410644531,4,0
112,11,80,30,10,0.2,0.3,0.29465222358703613,10,3
113,11,144,40,10,0.2,0.3,0.2584655284881592,3,2
114,11,144,50,10,0.2,0.3,0.579094648361206,4,1
115,11,4,60,10,0.2,0.3,0.4708867073059082,1,0
116,11,36,70,10,0.2,0.3,1.4664099216461182,4,0
117,11,6,80,10,0.2,0.3,1.2703909873962402,2,0
118,11,9,90,10,0.2,0.3,2.375487804412842,3,0
119,11,16,100,10,0.2,0.3,1.5712087154388428,1,0
120,12,4,10,10,0.2,0.3,0.006871938705444336,4,2
121,12,8,20,10,0.2,0.3,0.043378353118896484,4,2
122,12,72,30,10,0.2,0.3,0.17719459533691406,6,2
123,12,32,40,10,0.2,0.3,0.5231399536132812,8,1
124,12,72,50,10,0.2,0.3,0.5638959407806396,4,0
125,12,112,60,10,0.2,0.3,0.9741289615631104,4,0
126,12,120,70,10,0.2,0.3,6.397850513458252,20,1
127,12,32,80,10,0.2,0.3,2.6094777584075928,4,0
128,12,1568,90,10,0.2,0.3,24.116774082183838,32,0
129,12,120,100,10,0.2,0.3,4.787170171737671,4,0
