,graph_i,mec_size,n_nodes,n_types,prob_inter,prob_intra,runtime,tmec_size,unoriented_tedges
0,0,24,50,2,0.2,0.0,0.397507905960083,1,0
1,0,256,50,5,0.2,0.0,0.43015599250793457,1,0
2,0,8,50,10,0.2,0.0,0.5894813537597656,2,1
3,0,128,50,15,0.2,0.0,0.36005401611328125,1,0
4,0,384,50,20,0.2,0.0,1.6353776454925537,6,3
5,0,48,50,30,0.2,0.0,5.713523864746094,24,5
6,0,32,50,40,0.2,0.0,2.884186029434204,8,4
7,0,48,50,50,0.2,0.0,30.737183332443237,48,8
8,1,24,50,2,0.2,0.0,0.3001363277435303,1,0
9,1,96,50,5,0.2,0.0,0.32028985023498535,1,0
10,1,240,50,10,0.2,0.0,0.3576929569244385,1,0
11,1,30,50,15,0.2,0.0,0.808887243270874,3,2
12,1,216,50,20,0.2,0.0,10.042747735977173,48,6
13,1,36,50,30,0.2,0.0,17.407556533813477,30,7
14,1,96,50,40,0.2,0.0,4.8864586353302,16,4
15,1,240,50,50,0.2,0.0,179.65653157234192,240,11
16,2,6,50,2,0.2,0.0,0.32623291015625,1,0
17,2,8,50,5,0.2,0.0,0.35941290855407715,1,0
18,2,36,50,10,0.2,0.0,0.3513772487640381,1,0
19,2,12,50,15,0.2,0.0,0.8501591682434082,3,2
20,2,640,50,20,0.2,0.0,6.34441065788269,24,5
21,2,32,50,30,0.2,0.0,1.7606754302978516,8,3
22,2,32,50,40,0.2,0.0,5.886904954910278,32,5
23,2,216,50,50,0.2,0.0,115.77976965904236,216,11
